r,run,hops,n,p,q,grid_type
0,213,18,100,1,1,flat
0,214,19,100,1,1,flat
0,215,27,100,1,1,flat
0,216,26,100,1,1,flat
0,217,18,100,1,1,flat
0,218,29,100,1,1,flat
0,219,15,100,1,1,flat
0,220,14,100,1,1,flat
0,221,23,100,1,1,flat
0,222,18,100,1,1,flat
0,223,23,100,1,1,flat
0,224,21,100,1,1,flat
0,225,4,100,1,1,flat
0,226,35,100,1,1,flat
0,227,11,100,1,1,flat
0,228,13,100,1,1,flat
0,229,21,100,1,1,flat
0,230,29,100,1,1,flat
0,231,31,100,1,1,flat
0,232,11,100,1,1,flat
0,233,9,100,1,1,flat
0,234,22,100,1,1,flat
0,235,27,100,1,1,flat
0,236,22,100,1,1,flat
0,237,19,100,1,1,flat
0,238,31,100,1,1,flat
0,239,25,100,1,1,flat
0,240,26,100,1,1,flat
0,241,21,100,1,1,flat
0,242,32,100,1,1,flat
0,243,11,100,1,1,flat
0,244,19,100,1,1,flat
0,245,23,100,1,1,flat
0,246,20,100,1,1,flat
0,247,25,100,1,1,flat
0,248,35,100,1,1,flat
0,249,5,100,1,1,flat
0,250,32,100,1,1,flat
0,251,17,100,1,1,flat
0,252,22,100,1,1,flat
0,253,24,100,1,1,flat
0,254,35,100,1,1,flat
0,255,36,100,1,1,flat
0,256,8,100,1,1,flat
0,257,22,100,1,1,flat
0,258,32,100,1,1,flat
0,259,2,100,1,1,flat
0,260,25,100,1,1,flat
0,261,13,100,1,1,flat
0,262,38,100,1,1,flat
0,263,31,100,1,1,flat
0,264,36,100,1,1,flat
0,265,15,100,1,1,flat
0,266,21,100,1,1,flat
0,267,25,100,1,1,flat
0,268,38,100,1,1,flat
0,269,18,100,1,1,flat
0,270,16,100,1,1,flat
0,271,20,100,1,1,flat
0,272,28,100,1,1,flat
0,273,29,100,1,1,flat
0,274,17,100,1,1,flat
0,275,25,100,1,1,flat
0,276,6,100,1,1,flat
0,277,28,100,1,1,flat
0,278,18,100,1,1,flat
0,279,28,100,1,1,flat
0,280,7,100,1,1,flat
0,281,26,100,1,1,flat
0,282,46,100,1,1,flat
0,283,16,100,1,1,flat
0,284,32,100,1,1,flat
0,285,16,100,1,1,flat
0,286,29,100,1,1,flat
0,287,28,100,1,1,flat
0,288,27,100,1,1,flat
0,289,32,100,1,1,flat
0,290,14,100,1,1,flat
0,291,19,100,1,1,flat
0,292,7,100,1,1,flat
0,293,21,100,1,1,flat
0,294,21,100,1,1,flat
0,295,35,100,1,1,flat
0,296,20,100,1,1,flat
0,297,41,100,1,1,flat
0,298,17,100,1,1,flat
0,299,10,100,1,1,flat
0,300,29,100,1,1,flat
0,301,31,100,1,1,flat
0,302,14,100,1,1,flat
0,303,20,100,1,1,flat
0,304,31,100,1,1,flat
0,305,36,100,1,1,flat
0,306,15,100,1,1,flat
0,307,25,100,1,1,flat
0,308,16,100,1,1,flat
0,309,23,100,1,1,flat
0,310,43,100,1,1,flat
0,311,31,100,1,1,flat
0,312,22,100,1,1,flat
0,313,24,100,1,1,flat
0,314,16,100,1,1,flat
0,315,19,100,1,1,flat
0,316,45,100,1,1,flat
0,317,23,100,1,1,flat
0,318,17,100,1,1,flat
0,319,18,100,1,1,flat
0,320,25,100,1,1,flat
0,321,22,100,1,1,flat
0,322,23,100,1,1,flat
0,323,7,100,1,1,flat
0,324,23,100,1,1,flat
0,325,29,100,1,1,flat
0,326,22,100,1,1,flat
0,327,27,100,1,1,flat
0,328,31,100,1,1,flat
0,329,14,100,1,1,flat
0,330,34,100,1,1,flat
0,331,12,100,1,1,flat
0,332,27,100,1,1,flat
0,333,25,100,1,1,flat
0,334,33,100,1,1,flat
0,335,25,100,1,1,flat
0,336,29,100,1,1,flat
0,337,27,100,1,1,flat
0,338,7,100,1,1,flat
0,339,41,100,1,1,flat
0,340,10,100,1,1,flat
0,341,13,100,1,1,flat
0,342,31,100,1,1,flat
0,343,7,100,1,1,flat
0,344,41,100,1,1,flat
0,345,12,100,1,1,flat
0,346,30,100,1,1,flat
0,347,28,100,1,1,flat
0,348,29,100,1,1,flat
0,349,28,100,1,1,flat
0,350,22,100,1,1,flat
0,351,26,100,1,1,flat
0,352,16,100,1,1,flat
0,353,28,100,1,1,flat
0,354,23,100,1,1,flat
0,355,13,100,1,1,flat
0,356,28,100,1,1,flat
0,357,13,100,1,1,flat
0,358,17,100,1,1,flat
0,359,37,100,1,1,flat
0,360,20,100,1,1,flat
0,361,32,100,1,1,flat
0,362,17,100,1,1,flat
0,363,30,100,1,1,flat
0,364,39,100,1,1,flat
0,365,7,100,1,1,flat
0,366,23,100,1,1,flat
0,367,27,100,1,1,flat
0,368,20,100,1,1,flat
0,369,30,100,1,1,flat
0,370,19,100,1,1,flat
0,371,23,100,1,1,flat
0,372,20,100,1,1,flat
0,373,38,100,1,1,flat
0,374,38,100,1,1,flat
0,375,17,100,1,1,flat
0,376,22,100,1,1,flat
0,377,23,100,1,1,flat
0,378,28,100,1,1,flat
0,379,28,100,1,1,flat
0,380,25,100,1,1,flat
0,381,8,100,1,1,flat
0,382,25,100,1,1,flat
0,383,10,100,1,1,flat
0,384,30,100,1,1,flat
0,385,14,100,1,1,flat
0,386,7,100,1,1,flat
0,387,18,100,1,1,flat
0,388,23,100,1,1,flat
0,389,18,100,1,1,flat
0,390,26,100,1,1,flat
0,391,13,100,1,1,flat
0,392,28,100,1,1,flat
0,393,17,100,1,1,flat
0,394,19,100,1,1,flat
